8,2,4,2008,60,10,6.73499,2.7855,[],"['2839', '2850', '2020', '2082']","['1029', '1035']","A new castle is being built for the king, and lots of workers are coming from far away to make their contribution.

Each player is a master builder, who will have to make a tactical choice from a number of character cards each turn. But watch out, the character cards also cause interaction, making for a surprising and varied game. Only when the points are counted at the end of the game, the victor will be known!


Players use cards from their hands to take actions. These are revealed simultaneously and then resolved in a set order. One of the cards allows a player to pick the cards back up into their hand, allowing them to reuse cards previously played.

Players collect resources and money, and build buildings. Once a building is built, the tile is moved to reveal spaces for workers. These spaces give bonus points at the end of the game. The person with the most points at the end of the game is the winner.

"
21,2,6,2011,45,13,6.79879,1.7434,"['6471', '10592', '69209', '21940']","['2001', '2072', '2676', '2007', '2661', '2015']","['1022', '1050', '1020', '1047']","Game description from the publisher:

Hidden for centuries below the shifting Egyptian sands, the Pyramid of Horus sat undisturbed, until a research expedition on the limestone plateau of Abu Rawash uncovered it. Filled with treasures as rich as the Nile delta it borders, the pyramid is a beacon, summoning a group of exceptional Adventurers eager to put their hands on the priceless archaeological relics contained within. But with a myriad of hazards lying in wait, once you enter the pyramid you might never come out.

Descend into an ancient Egyptian pyramid with The Adventurers: The Pyramid of Horus, a standalone board game of danger and exploration for 2-6 players. In this fast-paced and tense experience, whichever player escapes from the pyramid alive and with the highest Treasure value wins the game. Will you emerge bearing priceless archeological treasures or will you succumb to the mortal dangers waiting inside?

As one of eight Adventurers – each with a special unique power – you can explore the pyramid, searching for archaeological relics hidden or buried in four chambers or corridors. But perils haunt your pursuit of treasure, and falling stones threaten to trap you inside forever if they obstruct the only way out. Adventurers must also be wary of hidden threats that can wound them and living mummies who roam the corridors!

Disturbing a cursed pyramid has its hazards, but there is no adventure without risk. Can you make it out alive and wealthy or will this ancient Egyptian tomb be your final resting place?

"
37,4,10,1999,30,12,5.80113,1.1592,"['33', '46175', '6485']","['2040', '2865', '2020']","['1002', '1079', '1030']","The party game Apples to Apples consists of two decks of cards: Things and Descriptions. Each round, the active player draws a Description card (which features an adjective like ""Hairy"" or ""Smarmy"") from the deck, then the other players each secretly choose the Thing card in hand that best matches that description and plays it face-down on the table. The active player then reveals these cards and chooses the Thing card that, in his opinion, best matches the Description card, which he awards to whoever played that Thing card. This player becomes the new active player for the next round.

Once a player has won a pre-determined number of Description cards, that player wins.

Note: ""Party Box"" editions include all cards from Apples to Apples: Expansion Set #1 and Apples to Apples: Expansion Set #2

"
40,2,6,2009,10,5,5.33347,1.3,"['44095', '5841', '62039']",['2002'],['1025'],"Appletters™ is the domino game where you don't connect the dots, you connect the letters! The apple shaped pouch with a soft, zip-closed top includes 110 tiles with red capital letters that may be used to play three different games:

Appleletters: Players alternately add tiles to the first or last letter of a word in the middle of the table creating a continuous snake of new words. For two to six players, ages 5 and up.

Apple Turnover: Similar to Appleletters, however each player begins with 21 tiles instead of nine, and may actually replace an opponent's word with a longer word. The goal is to be the first player to get rid of tiles. For two to four players, ages 7 and up.

Applescore: Players build words as long as possible in crossword-like fashion and get bonus points for length, palindromes and going out first. For two to four players, ages 7 and up.

"
42,2,5,1998,30,6,6.05609,1.1382,['24439'],"['2048', '2002']","['1009', '1002']","The groovy card game that's kind of like dominoes (only better!) Aquarius features three types of cards: Elements, Goals, and Actions. Element cards are played kind of like dominoes, with each player trying to win by connecting seven panels of one particular element. Goal cards determine which element each player is going after, and Action cards allow players to shake up the action in five different ways. The game is fast, fun, colorful, and easy to learn.

"
48,1,8,2005,240,14,7.25348,3.5769,"['67953', '62462', '71193', '5666', '4311', '5141']","['2023', '2072', '2040', '2078', '2028', '2819', '2853', '2015']","['1022', '1010', '1046', '1024', '1093']","The year is 1926, and it is the height of the Roaring Twenties. Flappers dance till dawn in smoke-filled speakeasies drinking alcohol supplied by rum runners and the mob. It's a celebration to end all celebrations in the aftermath of the war to end all wars.



        Yet a dark shadow grows in the city of Arkham. Alien entities known as Ancient Ones lurk in the emptiness beyond space and time, writhing at the gates between worlds. These gates have begun to open and must be closed before the Ancient Ones make our world their ruined domination.



        Only a handful of investigators stand against the Arkham Horror.  Will they Prevail? 


Arkham Horror is a cooperative adventure game themed around H.P Lovecraft's Cthulhu Mythos. Players choose from 16 Investigators and take to the streets of Arkham. Before the game, one of the eight Ancient Ones is chosen and it's up to the Investigators to prevent it from breaking into our world. During the course of the game, players will upgrade their characters by acquiring skills, allies, items, weapons, and spells. It's up to the players to clean out the streets of Arkham by fighting many different types of monsters, but their main goal is to close gates to other dimensions that are opening up around town. With too many gates open the Ancient One awakens and the players only have one last chance to save the world - defeat the Ancient One in combat!

"
55,0,0,2009,0,0,0,0,[],[],[],"From publisher blurb:

Atlantis is a roleplaying game where you play the last inhabitants of the Isle of Atlantis during its last days. Atlantis is burning and at midnight will sink into the sea, forever. Attempt to flee Atlantis while facing your Hopes, deeds, fears, and dooms before midnight, when Atlantis sinks under the waves forever.

"
67,1,8,2006,15,7,6.36103,1.3274,"['67583', '64383', '44095', '5666', '62039']",['2002'],"['1037', '1025']","Bananagrams is a fast and fun word game that requires no pencil, paper or board, and the tiles come in a fabric banana-shaped carrying pouch. One hand can be played in as little as five minutes. Much like Pick Two!, but without the letter values.

Using a selection of 144 plastic letter tiles in the English edition, each player works independently to create their own 'crossword' faster than one's opponents. When a player uses up all their letters, all players take a new tile from the pool. The object of the game is to be the first to complete a word grid after the ""bunch"" of tiles has been depleted.

There are variants included in the instructions, such as Banana Smoothie and Banana cafe for limited set skills or space-deprived places, and the game is suitable for solo play.

"
100,1,8,1972,10,8,6.21316,1.4846,"['9302', '10257', '5666', '62039']","['2072', '2055', '2060']","['1017', '1037', '1025']","Boggle is a timed word game in which players have 3 minutes to find as many connected words as possible from the face up letters resting in a 16 cube grid.  When the timer runs out, players compare their lists of words and remove any words found by multiple players.  Points are then awarded for remaining words, depending on how many letters are in the word.  (In the original Boggle, all words must contain 3 or more letters to score points.)

An example grid given in the French Canadian rules (of Deluxe Boggle) holds an amazing 459 words!

A number of variants have been produced by Parker Brothers over time, including Big Boggle (which uses a 5×5 grid of letters and forces players to search for longer words).

Boggle is a word dice game.

"
101,2,7,1997,45,13,7.03893,1.6754,"['65191', '5', '18']","['2040', '2981', '2915', '2004', '2008']","['1002', '1013', '1026']","Bohnanza is the first in the Bohnanza family of games and has been published in several different editions.

In the game, you plant, then harvest bean cards in order to earn coins. Each player starts with a hand of random bean cards, and each card has a number on it corresponding to the number of that type of beans in the deck. Unlike in most other cards games, you can't rearrange the order of cards in hand, so you must use them in the order that you've picked them up from the deck — unless you can trade them to other players, which is the heart of the game.

On a turn, you must plant the first one or two cards in your hand into the ""fields"" in front of you. Each field can hold only one type of bean, so if you must plant a type of bean that's not in one of your fields, then you must harvest a field to make room for the new arrival. This usually isn't good! Next, you reveal two cards from the deck, and you can then trade these cards as well as any card in your hand for cards from other players. You can even make future promises for cards received right now! After all the trading is complete — and all trades on a turn must involve the active player — then you end your turn by drawing cards from the deck and placing them at the back of your hand.

When you harvest beans, you receive coins based on the number of bean cards in that field and the ""beanometer"" for that particular type of bean. Flip over 1-4 cards from that field to transform them into coins, then place the remainder of the cards in the discard pile. When the deck runs out, shuffle the discards, playing through the deck two more times. At the end of the game, everyone can harvest their fields, then whoever has earned the most coins wins.

The original German edition supports 3-5 players. The English version from Rio Grande Games comes with the first edition of the first German expansion included in a slightly oversized box. One difference in the contents, however, is that bean #22's Weinbrandbohne (Brandy Bean) was replaced by the Wachsbohne, or Wax Bean. This edition includes rules for up to seven players, like the Erweiterungs-Set, but also adapts the two-player rules of Al Cabohne in order to allow two people to play Bohnanza.

"
112,2,4,2010,45,10,6.27355,2.3243,['6375'],"['2001', '2046', '2072', '2007', '2015']","['1022', '1010', '1046', '1047']","Get rich or die trying.

It's more than a motto for the thieves of Cadwallon: it's their way of life. You have joined the ranks of the infamous Guild of Thieves, seeking your own path to wealth and glory. Your tiny gang has been chosen to relieve the fat merchants of the city from a portion of their, ahem, ""excess"" wealth. But there are many factions within the Guild, and yours is not the only band working in the district tonight! In fact, your greatest challenge may not be the militiamen who guard the streets...

Cadwallon: City of Thieves is a fast-paced board game of cunning thievery and ruthless skulduggery in a fantasy city steeped in magic and intrigue. Two to four players each control their own gang of four thieves, competing to amass the greatest haul of loot from the many carefully locked chests scattered about the board. This is no friendly competition, however, and there is little loyalty among thieves in Cadwallon! The most successful players are as likely to claim their loot from the other gangs as they are to do the time-consuming legwork themselves...

Get ready for a deviously fun battle for treasure! Good fortune in the Guild of Thieves is a double-edged sword that cuts to the bone; other thieves will want your loot, and they have no qualms about drawing your blood to get it. The result is a fast and furious brawl for control of the best treasures in the city. Precious jewels change hands rapidly, and you'll quickly find yourself positioning your gang to not only grab the loot, but defend it desperately.

"
