"1920 Wall Street","1920 Wall Street",1989,"226255",False
"1942 USS Yorktown","1942 USS Yorktown",3378,"279307",False
"1987 Channel Tunnel","1987 Channel Tunnel",3379,"279306",False
"Get Bit! Collectors Edition","Get Bit! Collectors Edition",3115,"159517",False
"3 Laws of Robotics","3 Laws of Robotics",3324,"271447",False
"5-Minute Marvel","5-Minute Marvel",3191,"253618",False
"51st State: Master Set","51st State: Master Set",1724,"192458",False
"5211","5211",3290,"271512",False
"6 nimmt!","6 nimmt!",1291,"432",False
"7 Wonders","7 Wonders",2873,"68448",False
"7 Wonders Duel","7 Wonders Duel",2830,"173346",False
"A Pleasant Journey to Neko","A Pleasant Journey to Neko",2650,"257077",False
"A War of Whispers","A War of Whispers",3189,"253499",False
"Abandon All Artichokes","Abandon All Artichokes",3568,"302260",False
"Abomination: The Heir of Frankenstein","Abomination: The Heir of Frankenstein",2971,"239472",False
"Action News: The Game of Television News","Action News: The Game of Television News",3186,"231398",False
"Adrenaline","Adrenaline",2938,"202408",True
"Adventure Games: The Dungeon","Adventure Games: The Dungeon",3039,"267813",False
"Adventure Land","Adventure Land",3239,"183231",False
"The Adventurers: The Pyramid of Horus","The Adventurers: The Pyramid of Horus",21,"98315",False
"Aerion","Aerion",2838,"267127",False
"Aftermath","Aftermath",3248,"281946",True
"Age of Civilization","Age of Civilization",2365,"264647",False
"Agricola","Agricola",2792,"31260",True
"Air, Land & Sea","Air, Land & Sea",3125,"247367",False
"Airship City","Airship City",2678,"256442",False
"Alhambra","Alhambra",2172,"6249",False
"Alien Frontiers","Alien Frontiers",1547,"48726",False
"All Manor of Evil","All Manor of Evil",3482,"250355",False
"Alubari: A Nice Cup of Tea","Alubari: A Nice Cup of Tea",3148,"228959",False
"Anchors Aweigh!","Anchors Aweigh!",2472,"245704",False
"Android: Netrunner","Android: Netrunner",1310,"124742",False
"Animouv","Animouv",3055,"212388",False
"Ankh'or","Ankh'or",3036,"271530",False
"Anomaly","Anomaly",3147,"262135",True
"Anomia Kids","Anomia Kids",3330,"250834",False
"Antiquity","Antiquity",2149,"13122",False
"Apotheca","Apotheca",1637,"174614",False
"Apples to Apples","Apples to Apples",37,"74",False
"Appletters","Appletters",40,"58253",False
"Aquarius","Aquarius",42,"814",True
"Aquatica","Aquatica",3408,"283393",False
"Arboretum","Arboretum",2398,"140934",True
"Arcadia Quest: Inferno","Arcadia Quest: Inferno",1726,"179803",False
"Architects of the West Kingdom","Architects of the West Kingdom",2461,"236457",False
"Architectura","Architectura",3153,"256390",False
"Archmage","Archmage",2327,"222862",True
"Archmage: Ascendant","Archmage: Ascendant",3141,"263229",False
"Arkham Horror","Arkham Horror",48,"15987",True
"Arkham Horror: Final Hour","Arkham Horror: Final Hour",3005,"285773",False
"Arkham Noir: Case #1  The Witch Cult Murders","Arkham Noir: Case #1 – The Witch Cult Murders",3026,"225729",False
"Arraial","Arraial",2693,"246150",False
"ArtSee","ArtSee",2951,"276923",False
"Atari's Missile Command","Atari's Missile Command",2918,"223762",False
"Atelier","Atelier",3295,"311711",False
"Atlantis","Atlantis",55,"89862",True
"Atlantis Rising","Atlantis Rising",3497,"92120",True
"Aura","Aura",1646,"175418",False
"Ausser Rand & Band","Ausser Rand & Band",3459,"286658",False
"Automata NOIR","Automata NOIR",1844,"225449",False
"Azul","Azul",2017,"230802",False
"Azul","Azul",2134,"230802",False
"Azul","Azul",2311,"230802",False
"Azul: Summer Pavilion","Azul: Summer Pavilion",3442,"287954",False
"Babylonia","Babylonia",3409,"266164",True
"Bad Bones","Bad Bones",2684,"199223",False
"Bad Medicine","Bad Medicine",2507,"170825",True
"Bad Medicine","Bad Medicine",1302,"170825",True
"Bahamas","Bahamas",3267,"269917",False
"Bamboleo","Bamboleo",3002,"293",False
"Banana Bandits","Banana Bandits",1768,"206540",False
"Bananagrams","Bananagrams",67,"27225",False
"Bargain Quest","Bargain Quest",2089,"223740",False
"Barrage","Barrage",3543,"251247",False
"Batman: The Animated Series Dice Game","Batman: The Animated Series Dice Game",3501,"204175",False
"Batman: The Animated Series Dice Game","Batman: The Animated Series Dice Game",1498,"204175",False
"Battle Con: Connection Fighting","Battle Con: Connection Fighting",3562,0,True
"Battle for Rokugan","Battle for Rokugan",2070,"234477",False
"The Battle of Red Cliffs","The Battle of Red Cliffs",2207,"39375",False
"Battle of the Nations 1813","Battle of the Nations 1813",3453,"288781",False
"Battle Penguins","Battle Penguins",2807,"268471",False
"Battle Sheep","Battle Sheep",3305,"54137",False
"BattleCON: War of Indines","BattleCON: War of Indines",2931,"89409",False
"Battlelands","Battlelands",3024,"278305",False
"Beasty Bar","Beasty Bar",2368,"165950",False
"Beasty Bar","Beasty Bar",2383,"165950",False
"Bees: The Secret Kingdom","Bees: The Secret Kingdom",3222,"271528",False
"Before There Were Stars...","Before There Were Stars...",2501,"243780",False
"Beta Colony","Beta Colony",3252,"235533",False
"Betrayal at House on the Hill","Betrayal at House on the Hill",1455,"10547",False
"Between Two Castles of Mad King Ludwig","Between Two Castles of Mad King Ludwig",2449,"258036",False
"Biblios","Biblios",2113,"34219",False
"The Big Book of Madness","The Big Book of Madness",3401,"171233",False
"Bigfoot vs. Yeti","Bigfoot vs. Yeti",3399,"187383",False
"BIOS: Origins","BIOS: Origins",3385,"134068",False
"Bites","Bites",3533,"277927",False
"Black Angel","Black Angel",2976,"230244",False
"Black Hat","Black Hat",1863,"148282",True
"Black Orchestra","Black Orchestra",2140,"156858",False
"Black Skull Island","Black Skull Island",2459,"253861",False
"Blackout: Hong Kong","Blackout: Hong Kong",2692,"262215",False
"Blitzkrieg!: World War Two in 20 Minutes","Blitzkrieg!: World War Two in 20 Minutes",3358,"258210",True
"The Blood of an Englishman","The Blood of an Englishman",3494,"206504",False
"Blood Rage","Blood Rage",1397,"170216",True
"Bloodborne: The Card Game","Bloodborne: The Card Game",1818,"195856",False
"Bloom","Bloom",2913,"272085",True
"Bloom in Blizzard","花と吹雪 (Bloom in Blizzard)",3275,"261431",False
"Board Game Cafe Frenzy","Board Game Cafe Frenzy",3388,"274688",False
"Boggle","Boggle",100,"1293",True
"Bohnanza","Bohnanza",101,"11",False
"Borderlands: Tiny Tina's Robot Tea Party","Borderlands: Tiny Tina's Robot Tea Party",2905,"276622",False
"Bosk","Bosk",3407,"252556",False
"Boss Monster: The Dungeon Building Card Game","Boss Monster: The Dungeon Building Card Game",1141,"131835",False
"Bottom of the 9th","Bottom of the 9th",1407,"166286",False
"Braintopia","Braintopia",3054,"206175",False
"Brick Party","Brick Party",1600,"181161",False
"Brikks","Brikks",2686,"257726",False
"Broadhorns: Early Trade on the Mississippi","Broadhorns: Early Trade on the Mississippi",3279,"130393",False
"Broom Service: The Card Game","Broom Service: The Card Game",1473,"192735",False
"Bruxelles 1897","Bruxelles 1897",3449,"275913",False
"Buffalo","Buffalo",2892,"127505",False
"Buffy the Vampire Slayer: The Game","Buffy the Vampire Slayer: The Game",3362,"805",False
"Bugs in the Kitchen","Bugs in the Kitchen",2217,"137909",False
"Bullfrogs","Bullfrogs",1649,"149853",False
"Burgle Bros.","Burgle Bros.",2096,"172081",False
"Burgle Bros.","Burgle Bros.",2820,"172081",False
"Bus","Bus",3441,"552",True
"ButaBabel","ButaBabel",3281,"193681",False
"Butterfly","Butterfly",3096,"284229",True
"Byzanz","Byzanz",2116,"38032",False
"Cactus","Cactus",3544,"268255",False
"Cadwallon: City of Thieves","Cadwallon: City of Thieves",112,"69120",False
"Cahoots","Cahoots",3119,"246761",True
"Calimala","Calimala",2021,"199383",False
"Call of Cthulhu: The Card Game","Call of Cthulhu: The Card Game",3131,"40270",False
"Call to Adventure","Call to Adventure",3361,"238992",True
"Can't Catch Harry","Can't Catch Harry",3530,"264660",False
"Can't Stop","Can't Stop",1979,"41",False
"Cantankerous Cats","Cantankerous Cats",2781,"176651",False
"Caper","Caper",2886,"232824",True
"The Captain Is Dead: Lockdown","The Captain Is Dead: Lockdown",2655,"208804",False
"The Captain Is Dead","The Captain Is Dead",2653,"159503",False
"Captain Silver","Captain Silver",1922,"219509",False
"Captain Sonar","Captain Sonar",1764,"171131",False
"Capture","Capture",3269,0,False
"Car Wars: The Card Game","Car Wars: The Card Game",1489,"1126",False
"Caravan","Caravan",3303,"269789",True
"Carcassonne","Carcassonne",1840,"822",False
"Carcassonne","Carcassonne",1958,"822",False
"Carcassonne","Carcassonne",2793,"822",False
"Carcassonne: Safari","Carcassonne: Safari",2306,"256065",False
"Carcassonne: The Discovery","Carcassonne: The Discovery",128,"16216",False
"Cardline: Globetrotter","Cardline: Globetrotter",1163,"145014",False
"Cargo Express","Cargo Express",2947,"262562",False
"Carnival of Monsters","Carnival of Monsters",3293,"231484",False
"Carpe Diem","Carpe Diem",2691,"245934",False
"Carrossel","Carrossel",3443,"252712",False
"Carthago: Merchants & Guilds","Carthago: Merchants & Guilds",2240,"233006",False
"Cartographers: A Roll Player Tale","Cartographers: A Roll Player Tale",2998,"263918",False
"Cartoon Network Crossover Crisis Deck-Building Game","Cartoon Network Crossover Crisis Deck-Building Game",2618,"194233",False
"Cartoon Network Crossover Crisis Deck-Building Game","Cartoon Network Crossover Crisis Deck-Building Game",2611,"194233",False
"Cartooner","Cartooner",2561,"234497",False
"Castaways","Castaways",137,"71906",False
"Castell","Castell",2114,"238638",False
"Castellan","Castellan",1151,"114903",False
"Castello Methoni","Castello Methoni",3404,"266141",False
"A Castle for All Seasons","A Castle for All Seasons",8,"38386",False
"Castle Rampage","Castle Rampage",2502,"256569",False
"The Castles of Burgundy","The Castles of Burgundy",1461,"84876",False
"Castles of Caladale","Castles of Caladale",3232,"213370",False
"Castles of Mad King Ludwig","Castles of Mad King Ludwig",2481,"155426",False
"Cat Cafe","Cat Café",3445,"279135",False
"Cat Lady","Cat Lady",2751,"228504",False
"Cat Rescue","Cat Rescue",2673,"245824",False
"Catacombs & Castles","Catacombs & Castles",2370,"194286",False
"Catan","Catan",3480,"13",False
"Catan","Catan",1389,"13",False
"Catan Histories: Settlers of America  Trails to Rails","Catan Histories: Settlers of America – Trails to Rails",3254,"67239",False
"Catan: Junior","Catan: Junior",1776,"125921",False
"Catch the Moon","Catch the Moon",2346,"218129",False
"Caveman Curling","Caveman Curling",146,"67453",False
"Caverna: The Cave Farmers","Caverna: The Cave Farmers",1181,"102794",False
"Caylus 1303","Caylus 1303",3411,"284818",False
"Celestia","Celestia",1895,"175117",True
"Century: Golem Edition","Century: Golem Edition",2132,"232832",False
"Ceylon","Ceylon",2683,"248900",True
"Chakra","Chakra",3067,"267378",True
"The Chameleon","The Chameleon",1915,"227072",False
"Champions of Midgard","Champions of Midgard",1703,"172287",False
"Cheer Up!","Cheer Up!",3487,"256507",False
"Cheese Quest","Cheese Quest",3343,"196026",False
"Chessplus: Pure Genius","Chessplus: Pure Genius",3018,"245598",False
"Chicago Poker","Chicago Poker",162,"29030",False
"Chimera & More","Chimera & More",3143,"224830",False
"Chocolate Factory","Chocolate Factory",3398,"240567",False
"Choose Your Own Adventure: House of Danger","Choose Your Own Adventure: House of Danger",2377,"251420",False
"Chop! Chop!","Chop! Chop!",3020,"230916",False
"Chopstick Dexterity MegaChallenge 3000","Chopstick Dexterity MegaChallenge 3000",3258,"25695",False
"Churrascaria","Churrascaria",2801,0,True
"Cine Write and Trade","Cine Write and Trade",3457,"289786",False
"Circular Reasoning: The Well of Power","Circular Reasoning: The Well of Power",2101,"167283",False
"Cities: Skylines  The Board Game","Cities: Skylines – The Board Game",3406,"267370",False
"City of Remnants","City of Remnants",3132,"133528",False
"City of the Big Shoulders: Burden of Destiny","City of the Big Shoulders: Burden of Destiny",2982,"281722",False
"CIV: Carta Impera Victoria","CIV: Carta Impera Victoria",2112,"240465",False
"Clank!: A Deck-Building Adventure","Clank!: A Deck-Building Adventure",3041,"201808",False
"Clank!: A Deck-Building Adventure","Clank!: A Deck-Building Adventure",2880,"201808",False
