Title,Publisher,Valuable,Count,IDnum
"1001 Islands","Ludonaute",false,1,4036
"12 Rivers","Dofinn",false,1,4341
"1902 Melies","Looping Games",false,1,4538
"1902 Melies","Looping Games",false,2,4539
"1923 Cotton Club","Looping Games",false,1,3834
"1998 Iss","Looping Games",false,1,4395
"3000 Scoundrels","Unexpected Games",false,1,4085
"4 Gods","Asmodee",false,1,1559
"5 Towers","Pegasus Spiele",false,2,4503
"5-Minute Marvel","Spin Master",false,1,3191
"5211","Next Move Games",false,1,3290
"6 nimmt!","Mayfair Games",false,1,1291
"7 Wonders","Repos Production",true,1,2873
"7 Wonders: Architects","Repos Production",false,1,3595
"9 Peak","Manifest Destiny",false,1,4321
"A Fake Artist Goes to New York","Oink Games",false,1,2429
"A Game Of Folklore","Kenechukwu",false,1,3762
"A War of Whispers","Starling Games",false,2,3189
"Abomination: The Heir of Frankenstein","Plaid Hat Games",false,1,2971
"Accuse!","La Mame Games",false,1,4543
"Adrenaline","Cge",false,1,2158
"Adrenaline","Cge",false,1,2938
"Adventure Games: The Dungeon","Kosmos",false,2,3039
"Aegean Sea","Asmadi Games",false,1,4547
"Aeon's End","Indie Boards & Cards",false,1,1527
"Aerion","Z-Man Games",false,2,2838
"Aeroplanes: Aviation Ascendent","Mayfair Games",false,1,4104
"Agricola","Lookout Games",true,4,2792
"Ahoy","Leder Games",false,2,4146
"Air, Land, & Sea","Arcane Wonders",false,2,3125
"Airship City","Analog Lunchbox",false,2,2678
"Akropolis","Gigamic",false,6,4311
"Alchemist","Mayfair Games",false,1,25
"Alchemists","Cge",false,1,2131
"Aldebaran Duel","Dino",false,1,4519
"Aldebaran Duel","Dino",false,1,4518
"Alhambra","Queen Games",false,1,2172
"Alhambra","Queen Games",false,1,1899
"Alhambra: The Card Game","Queen Games",false,1,4021
"Alien Frontiers","Game Salute",false,1,27
"Alien Frontiers","Game Salute",false,1,1547
"Alien: Fate Of The Nostromo","Ravensburger",false,1,4014
"Alluvium","Fudacoma Games",false,1,3795
"Altiplano","Renegade Game Studios",false,1,2210
"Alubari: A Nice Cup of Tea","Studio H",false,1,3148
"Ancient Knowledge","Iello",false,1,4480
"Andor","Kosmos",false,1,3627
"Android: Netrunner","Fantasy Flight Games",false,1,1310
"Animal Upon Animal","Haba",false,2,1542
"Animouv","Djeco",false,2,3055
"Ankh: Gods Of Egypt","Cmon",false,3,3735
"Annapurna","Fiat Lucre",false,1,4256
"Anno 1800","Kosmos",false,1,3747
"Anomaly","Prime",false,3,3147
"Anomia: Party Edition","Everest",false,1,3228
"Antiquity","Splotter",false,1,2149
"Antiquity Quest","Grandpa Beck'S Games",false,1,4701
"Apiary","Stonemaier Games",false,3,4514
"Apotheca","Knapsack",false,1,1637
"Applejack","The Game Builders",false,1,4294
"Apples to Apples","Hasbro",false,1,37
"Aquatica","Cosmo Drone Games",false,2,3408
"Arabella","2d6 Games",false,1,4510
"Arabella","2d6 Games",false,1,4688
"Arboretum","Renegade Game Studios",false,1,2398
"Arcadia Quest: Inferno","Cmon",false,1,2322
"Arch Ravels","Xyz Game Labs",false,1,3732
"Archeologic","Ludonaute",false,3,4521
"Architects of the West Kingdom","Renegade Game Studios",false,2,2461
"Ark Nova","Capstone Games",true,1,3949
"Arkham Horror","Fantasy Flight Games",false,2,48
"Arraial","Mebo",false,1,2693
"ARTBOX","Crowd Games",false,1,3980
"Ascension 10 Year Anniversary Edition","Stoneblade Entertainment",false,1,3623
"Ascension: Rise of Vigil","Stoneblade Entertainment",false,1,52
"Ashes Reborn: Rise Of The Phoenixborn","Plaid Hat Games",false,2,4056
"Astra","Mindclash Play",false,1,4309
"Atlantic Robot League","Wizkids",false,1,4142
"Auignon A Clash Of Popes","Buttonshy Games",false,1,4362
"Auztralia","Stronghold Games",false,1,2666
"Azul","Next Move Games",true,3,2134
"Azul: Queen's Garden","Next Move Games",false,3,3950
"Azul: Stained Glass of Sintra","Next Move Games",false,2,2916
"Azul: Summer Pavilion","Next Move Games",false,3,3442
"Babylonia","Ludonova",false,1,3409
"Bad Beets","Stoneblade Entertainment",false,1,4719
"Bahamas","Matagot",false,1,3267
"Bamboleo","Zoch Zum Spielen",false,1,3002
"Bananagrams","Bananagrams",false,1,67
"Bananine","Polar Pond Games",false,1,4320
